business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,permanently_closed,price_level
OPERATIONAL,"{'location': {'lat': 37.70227449999999, 'lng': -122.470544}, 'viewport': {'northeast': {'lat': 37.70337953029149, 'lng': -122.4692656197085}, 'southwest': {'lat': 37.70068156970849, 'lng': -122.4719635802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/movies-71.png,#13B5C7,https://maps.gstatic.com/mapfiles/place_api/icons/v2/movie_pinlet,Century Daly City 20 XD and IMAX,{'open_now': True},"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116092137586851619486"">David</a>'], 'photo_reference': 'AW30NDwpWEBQoCcp1kiJvcAlayH3YTN8ZcnN0Q1rEIYSuoF5YuXOJMxQGOyz-KLojDkALR1JgF_na4UFRKP1I0jh9q25xDJuoIlYhF6KnKiKiAghGH5T6gvrJRqYQ94ArdA0DnDuePp5UjqzDNQCJ73YWtszifMlTR7Zn1CwZaTnnagJKWOt', 'width': 2252}]",ChIJbzxsjEB8j4ARMzaEAY4Sn8M,"{'compound_code': 'PG2H+WQ Daly City, CA, USA', 'global_code': '849VPG2H+WQ'}",4.3,ChIJbzxsjEB8j4ARMzaEAY4Sn8M,GOOGLE,"['movie_theater', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",3556.0,"1901 Junipero Serra Boulevard, Daly City",,
CLOSED_TEMPORARILY,"{'location': {'lat': 37.7025897, 'lng': -122.4705528}, 'viewport': {'northeast': {'lat': 37.7038272802915, 'lng': -122.4693000697085}, 'southwest': {'lat': 37.7011293197085, 'lng': -122.4719980302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Kome Buffet,,"[{'height': 2988, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112777714159494658046"">Andy F</a>'], 'photo_reference': 'AW30NDxNpJVL-m9KUyd2T2hrz0VDWofj55ELlpbOwTwDm8skSmTEYll-TmwBdRx2yqWzxjVfkToVKW1HKBejhAC6vBTs_5diD6_s7xKsQOfjnDB-J2eg_OuYUOqcIQT9z4oXgkQZn0SUnB75tWWkfHxseb3fKB3IF8tRubyPoVNmNsmmoS6h', 'width': 5312}]",ChIJbzxsjEB8j4ARwjW3fqrV4z8,"{'compound_code': 'PG3H+2Q Daly City, CA, USA', 'global_code': '849VPG3H+2Q'}",3.6,ChIJbzxsjEB8j4ARwjW3fqrV4z8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",1118.0,"1901 Junipero Serra Boulevard, Daly City",True,2.0
OPERATIONAL,"{'location': {'lat': 37.6887842, 'lng': -122.4716054}, 'viewport': {'northeast': {'lat': 37.6901012802915, 'lng': -122.4701322197085}, 'southwest': {'lat': 37.6874033197085, 'lng': -122.4728301802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Krispy Kreme,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110312179948292351255"">Jerrell Stewart</a>'], 'photo_reference': 'AW30NDxi2vWaTOSvzwDJmT7GoxKjIqvvlvMz1d734cGfjfoM6kD7sGThoh-oZXkkI_NV64WSYTjgvep9ORIqyDNUpbbZ--sxMfG9FIUtkJzMQrTAFDz_i16P-7syr-4Ob-6eYOraoxzATWjsSbESFaShhntJBHaDjZnDvRad9Ul1MBfjj0Vr', 'width': 4032}]",ChIJreoxhXJ8j4ARWk3_hHS7_cE,"{'compound_code': 'MGQH+G9 Daly City, CA, USA', 'global_code': '849VMGQH+G9'}",4.3,ChIJreoxhXJ8j4ARWk3_hHS7_cE,GOOGLE,"['cafe', 'bakery', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1210.0,"1575 Sullivan Avenue, Daly City",,1.0
OPERATIONAL,"{'location': {'lat': 37.6882272, 'lng': -122.472}, 'viewport': {'northeast': {'lat': 37.6895653302915, 'lng': -122.4705365697085}, 'southwest': {'lat': 37.6868673697085, 'lng': -122.4732345302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,In-N-Out Burger,{'open_now': True},"[{'height': 752, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110264234609023086526"">In-N-Out Burger</a>'], 'photo_reference': 'AW30NDw3kS32ayRGsojx1vHIHQCJmpJ75ndOb1LTawZq-r1D-m_Mv2RPEvwlQd3LfKFM5ksvr6oMlv6kdDlF8ONzGuLaWHZaAbkTtzztFcOYkYDxZZ7Gz112CfofpTJUBdFVje_acctjl3dZLBqts2uYcMUm53m0AeZylyGNPqdEm2Su6Mzn', 'width': 1337}]",ChIJ3VjyinJ8j4ARm6mZIXs9_xQ,"{'compound_code': 'MGQH+76 Daly City, CA, USA', 'global_code': '849VMGQH+76'}",4.6,ChIJ3VjyinJ8j4ARm6mZIXs9_xQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",5921.0,"260 Washington Street, Daly City",,1.0
OPERATIONAL,"{'location': {'lat': 37.701585, 'lng': -122.485509}, 'viewport': {'northeast': {'lat': 37.7031107302915, 'lng': -122.4845488197085}, 'southwest': {'lat': 37.70041276970851, 'lng': -122.4872467802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Original Joe’s Westlake,{'open_now': True},"[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/118341387100802136722"">Original Joe’s Westlake</a>'], 'photo_reference': 'AW30NDyKKOtgbnoDYPbVBzFKusm6KJiOEWIavFytfJgOU0CfhDELtpKYytWK9Qqty7zfbgNVINpR1oBWXJiErt00g01K7kUA9hplcIknJVuJZEvVAq7TE0dIJaw3c0ozLAjJM8E-XjR3_nCIjAuQBEkAC1wQlaKOrcRC09KemrcpCNpBZG4s', 'width': 2048}]",ChIJGY_jLFp8j4ARXLcIfxMpJw8,"{'compound_code': 'PG27+JQ Daly City, CA, USA', 'global_code': '849VPG27+JQ'}",4.5,ChIJGY_jLFp8j4ARXLcIfxMpJw8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",3168.0,"11 Glenwood Avenue, Daly City",,3.0
OPERATIONAL,"{'location': {'lat': 37.70393010000001, 'lng': -122.4750409}, 'viewport': {'northeast': {'lat': 37.7052757302915, 'lng': -122.4737983197085}, 'southwest': {'lat': 37.7025777697085, 'lng': -122.4764962802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Boulevard Cafe,{'open_now': True},"[{'height': 682, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109335675557666193629"">Boulevard Cafe</a>'], 'photo_reference': 'AW30NDwwTrE0umSouWIxe9brp5dsd2ApmANgUFKK-cTGBwhhLV9y9hxk9UdBfmwSnXtwYKwqrMMRddBjeNlHc8HQ6N13W3f_Q5j_oil6AlYkCD0YS4TgVVswe857uQBfgw-KAxZe_tEBEDo6yjfpt9rs-8BuG3_wz1IgX2xRtXODiQwwfKVd', 'width': 1024}]",ChIJP7V2IER8j4ARmwqj9PK5tcw,"{'compound_code': 'PG3F+HX Daly City, CA, USA', 'global_code': '849VPG3F+HX'}",4.3,ChIJP7V2IER8j4ARmwqj9PK5tcw,GOOGLE,"['restaurant', 'cafe', 'food', 'point_of_interest', 'establishment']",2159.0,"2 Poncetta Drive, Daly City",,2.0
OPERATIONAL,"{'location': {'lat': 37.691705, 'lng': -122.4714472}, 'viewport': {'northeast': {'lat': 37.6929695802915, 'lng': -122.4698827697085}, 'southwest': {'lat': 37.6902716197085, 'lng': -122.4725807302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Val's,{'open_now': True},"[{'height': 3036, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103402947749148149765"">Shon C</a>'], 'photo_reference': 'AW30NDzbFgs1R5RsOeiGtPT-ofko0USYBm0P4VIjKJ4w_2Huel02-Sk8ADJcLpmvBrZtmPP52xzIaPnfEDIDBxPe48awL78VerwUu8KrDcN0DQk_hAN6_nwx7PjLlJ7nPGKb4VEEFGoPAOb9AJNoeuThpJHG6tNceYgMDy9HgjveQiak04ey', 'width': 4048}]",ChIJeZmvHW18j4ARc8KhDOR05kI,"{'compound_code': 'MGRH+MC Daly City, CA, USA', 'global_code': '849VMGRH+MC'}",4.2,ChIJeZmvHW18j4ARc8KhDOR05kI,GOOGLE,"['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",697.0,"2468 Junipero Serra Boulevard, Daly City",,2.0
OPERATIONAL,"{'location': {'lat': 37.7109762, 'lng': -122.4669587}, 'viewport': {'northeast': {'lat': 37.7123049802915, 'lng': -122.4656842697085}, 'southwest': {'lat': 37.70960701970851, 'lng': -122.4683822302915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Subway,{'open_now': True},"[{'height': 2268, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109987047774933770869"">Altaf Rahman</a>'], 'photo_reference': 'AW30NDzFDDBg8TXCfVxKtTVzDtMnFjEc0z-ofKvpJhDIt16wFrvPom6koHsYBzIzb3NBsSGdLr4eMsmKzoyLrjJHWZPo9bcRb0DTNIBqTxdLH3u-NhMqCms3yDCHIKFiX3K7I0y53As1JPa5v7SOqwxefQd7c0vc5qOS3pGQLZXqtpEEg09R', 'width': 4032}]",ChIJuRpgnzd8j4ARSjx0LtHfAaI,"{'compound_code': 'PG6M+96 Merced Heights, San Francisco, CA, USA', 'global_code': '849VPG6M+96'}",4.2,ChIJuRpgnzd8j4ARSjx0LtHfAaI,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",94.0,"3911 Alemany Boulevard Suite 1004, San Francisco",,1.0
OPERATIONAL,"{'location': {'lat': 37.6995983, 'lng': -122.4837371}, 'viewport': {'northeast': {'lat': 37.7009805302915, 'lng': -122.4825225197085}, 'southwest': {'lat': 37.6982825697085, 'lng': -122.4852204802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Wingstop,{'open_now': True},"[{'height': 496, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107493693606743349541"">Wingstop</a>'], 'photo_reference': 'AW30NDw2V9u-xCM2Nx4o3wUWJMWNazQFNKam3Y6DEC9GClo0xbpVgHF-n4E8ydcaEh3lzd7W0Y7_VXebZa0gAZlirQk4UiNLAznA3pRY8QWHYMm7bZYmNYjIG1ueT2lChDGYmukXRHxdsGTbomSjeZZW_CxVmp7vYVh90R0zpo-8p5AjBbus', 'width': 882}]",ChIJ6eO6IF18j4ARC2pG1S6BHtU,"{'compound_code': 'MGX8+RG Daly City, CA, USA', 'global_code': '849VMGX8+RG'}",3.4,ChIJ6eO6IF18j4ARC2pG1S6BHtU,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",420.0,"227 Lake Merced Boulevard, Daly City",,2.0
OPERATIONAL,"{'location': {'lat': 37.7020696, 'lng': -122.470555}, 'viewport': {'northeast': {'lat': 37.7034107302915, 'lng': -122.4692972197085}, 'southwest': {'lat': 37.7007127697085, 'lng': -122.4719951802915}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Tomo Sushi & Teriyaki,{'open_now': True},"[{'height': 3072, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105122920005298624172"">Simon Ayala</a>'], 'photo_reference': 'AW30NDy9aJbBnx0TvG_T7SIm-91OY8aPt6OC55rHvn0yvIRccaKJ_zO1yNWcsYZZo4IcbJlPRFCV2PWnbe0co5hrgQOXouf-40Npxfn-P2ORM7W2oUOP0a5_uQ3_BWjL9ETsIRR-C8zByD1cgPJ2bFqOY6cVdot8mY3bheCWb9wh7KtZbIkD', 'width': 4096}]",ChIJbzxsjEB8j4ARKzKIS39vhbQ,"{'compound_code': 'PG2H+RQ Daly City, CA, USA', 'global_code': '849VPG2H+RQ'}",4.3,ChIJbzxsjEB8j4ARKzKIS39vhbQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",412.0,"1901 Junipero Serra Boulevard # G, Daly City",,2.0
